,id,choiceNum,candNum,college,exp,job,photo,preference,Y,resp_ethnicity,resp_sex,resp_age,resp_education
0,R_0GkP9YSiNDMukb7,1,1,Boston University,5.0,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,2,0,Black or African American,Male,35-44 years old,Bachelors Degree
1,R_0GkP9YSiNDMukb7,1,2,Stanford University,7.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,2,1,Black or African American,Male,35-44 years old,Bachelors Degree
2,R_0GkP9YSiNDMukb7,2,1,Boston University,7.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc,1,1,Black or African American,Male,35-44 years old,Bachelors Degree
3,R_0GkP9YSiNDMukb7,2,2,Virginia Tech,6.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G,1,0,Black or African American,Male,35-44 years old,Bachelors Degree
4,R_0GkP9YSiNDMukb7,3,1,George Washington University,7.0,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_8kY19UVhHc35c90,1,1,Black or African American,Male,35-44 years old,Bachelors Degree
5,R_0GkP9YSiNDMukb7,3,2,"University of California, Berkeley",6.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,1,0,Black or African American,Male,35-44 years old,Bachelors Degree
6,R_0GkP9YSiNDMukb7,4,1,Stanford University,6.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JM7n0RVYqtN1zw,2,0,Black or African American,Male,35-44 years old,Bachelors Degree
7,R_0GkP9YSiNDMukb7,4,2,University of San Diego,6.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc,2,1,Black or African American,Male,35-44 years old,Bachelors Degree
8,R_0GkP9YSiNDMukb7,5,1,George Washington University,5.0,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,2,0,Black or African American,Male,35-44 years old,Bachelors Degree
9,R_0GkP9YSiNDMukb7,5,2,George Washington University,7.0,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,2,1,Black or African American,Male,35-44 years old,Bachelors Degree
10,R_10AVvGvm9BC40Sh,1,1,Boston University,6.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8,1,1,White,Male,25-34 years old,Bachelors Degree
11,R_10AVvGvm9BC40Sh,1,2,Boston University,7.0,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_021VYSvq7rnzo4m,1,0,White,Male,25-34 years old,Bachelors Degree
12,R_10AVvGvm9BC40Sh,2,1,Boston University,7.0,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,2,0,White,Male,25-34 years old,Bachelors Degree
13,R_10AVvGvm9BC40Sh,2,2,University of San Diego,7.0,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i,2,1,White,Male,25-34 years old,Bachelors Degree
14,R_10AVvGvm9BC40Sh,3,1,University of San Diego,5.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,1,1,White,Male,25-34 years old,Bachelors Degree
15,R_10AVvGvm9BC40Sh,3,2,"University of California, Berkeley",5.0,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc,1,0,White,Male,25-34 years old,Bachelors Degree
16,R_10AVvGvm9BC40Sh,4,1,Boston University,7.0,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,2,0,White,Male,25-34 years old,Bachelors Degree
17,R_10AVvGvm9BC40Sh,4,2,Stanford University,6.0,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,2,1,White,Male,25-34 years old,Bachelors Degree
18,R_10AVvGvm9BC40Sh,5,1,George Washington University,7.0,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,1,1,White,Male,25-34 years old,Bachelors Degree
19,R_10AVvGvm9BC40Sh,5,2,Virginia Tech,7.0,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,1,0,White,Male,25-34 years old,Bachelors Degree
20,R_10Dc7KG5UNa5FTL,1,1,Stanford University,6.0,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,1,1,White,Male,55-64 years old,Bachelors Degree
21,R_10Dc7KG5UNa5FTL,1,2,"University of California, Berkeley",7.0,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_021VYSvq7rnzo4m,1,0,White,Male,55-64 years old,Bachelors Degree
