StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1_Q3,2_Q3,3_Q3,4_Q3,5_Q3,Q61,Q30,Q30_7_TEXT,Q31,Q32,Q33,Q33_7_TEXT,Unique Survey Code,choice1_college1,choice1_college2,choice1_job1,choice1_job2,choice1_photo1,choice1_photo2,choice2_college1,choice2_college2,choice2_job1,choice2_job2,choice2_photo1,choice2_photo2,choice3_college1,choice3_college2,choice3_job1,choice3_job2,choice3_photo1,choice3_photo2,choice4_college1,choice4_college2,choice4_job1,choice4_job2,choice4_photo1,choice4_photo2,choice5_college1,choice5_college2,choice5_job1,choice5_job2,choice5_photo1,choice5_photo2,choice1_exp1,choice1_exp2,choice2_exp1,choice2_exp2,choice3_exp1,choice3_exp2,choice4_exp1,choice4_exp2,choice5_exp1,choice5_exp2
2022-03-26 0:02:35,2022-03-26 0:03:41,IP Address,107.180.129.27,100,65,TRUE,2022-03-26 0:03:41,R_2OOTwdc9qpaeyUM,,,,,39.04690552,-77.49030304,anonymous,EN,Candidate 1,Candidate 2,Candidate 2,Candidate 1,Candidate 2,Q3,White,,Male,45-54 years old,Bachelors Degree,,14459,Virginia Tech,Stanford University,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,Virginia Tech,George Washington University,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM,Virginia Tech,Virginia Tech,Sales Representative,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,University of San Diego,Virginia Tech,Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,Stanford University,University of San Diego,Consultant,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8,6,6,6,6,6,5,6,7,7,7
2022-03-26 0:03:15,2022-03-26 0:04:21,IP Address,204.217.218.71,100,65,TRUE,2022-03-26 0:04:21,R_1Hdd8hUst2tZXhb,,,,,47.60339355,-122.3414001,anonymous,EN,Candidate 2,Candidate 2,Candidate 1,Candidate 1,Candidate 2,Q2,White,,Male,35-44 years old,Bachelors Degree,,50067,George Washington University,University of San Diego,Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_8kY19UVhHc35c90,Stanford University,"University of California, Berkeley",Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Stanford University,University of San Diego,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,"University of California, Berkeley",Boston University,Software Engineer,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,"University of California, Berkeley","University of California, Berkeley",Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,6,7,5,5,6,6,5,6,5,6
2022-03-26 0:03:13,2022-03-26 0:04:22,IP Address,202.182.64.117,100,69,TRUE,2022-03-26 0:04:22,R_3Pjfa42q2kQ7vG3,,,,,40.76829529,-73.98020172,anonymous,EN,Candidate 2,Candidate 1,Candidate 2,Candidate 2,Candidate 1,"Q2,Q3,Q4",White,,Male,25-34 years old,Masters Degree,,56005,University of San Diego,University of San Diego,Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,George Washington University,University of San Diego,Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_021VYSvq7rnzo4m,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,Boston University,Boston University,Consultant,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,"University of California, Berkeley",George Washington University,Consultant,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i,Virginia Tech,Virginia Tech,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,6,7,6,7,7,7,7,7,7,6
2022-03-26 0:03:16,2022-03-26 0:04:30,IP Address,196.16.109.111,100,74,TRUE,2022-03-26 0:04:30,R_2X033519KnXqPZN,,,,,34.05439758,-118.2440948,anonymous,EN,Candidate 1,Candidate 1,Candidate 2,Candidate 2,Candidate 1,All of the above,White,,Male,25-34 years old,Bachelors Degree,,32106,Boston University,Boston University,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,George Washington University,"University of California, Berkeley",Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,University of San Diego,University of San Diego,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_81h2dFUxHLMEHCC,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,Virginia Tech,Virginia Tech,Software Engineer,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,George Washington University,George Washington University,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,5,5,7,5,5,7,5,5,6,5
2022-03-26 0:03:33,2022-03-26 0:04:49,IP Address,208.218.229.218,100,76,TRUE,2022-03-26 0:04:50,R_2b3suxrXdwXSniG,,,,,40.51750183,-74.39910126,anonymous,EN,Candidate 1,Candidate 2,Candidate 1,Candidate 2,Candidate 1,Q3,White,,Male,25-34 years old,Bachelors Degree,,19220,Boston University,"University of California, Berkeley",Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_01WTwDYVJBMeihg,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,University of San Diego,University of San Diego,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,Boston University,"University of California, Berkeley",Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,George Washington University,"University of California, Berkeley",Consultant,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM,Boston University,"University of California, Berkeley",Sales Representative,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JM7n0RVYqtN1zw,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,6,7,5,5,7,6,5,6,7,6
2022-03-26 0:03:05,2022-03-26 0:04:51,IP Address,196.17.64.52,100,106,TRUE,2022-03-26 0:04:52,R_AF31Ai9FtQLmU4p,,,,,34.05439758,-118.2440948,anonymous,EN,Candidate 2,Candidate 2,Candidate 1,Candidate 2,Candidate 2,Q5,White,,Male,45-54 years old,Bachelors Degree,,48574,Boston University,Boston University,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JRdYUkB2u7dLh4,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,Boston University,George Washington University,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JM7n0RVYqtN1zw,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,University of San Diego,Boston University,Software Engineer,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,University of San Diego,"University of California, Berkeley",Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM,University of San Diego,Stanford University,Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,7,6,6,6,5,5,6,5,7,7
2022-03-26 0:03:14,2022-03-26 0:04:52,IP Address,208.218.226.242,100,98,TRUE,2022-03-26 0:04:53,R_2ciHFWREBOxaECn,,,,,40.80230713,-73.73290253,anonymous,EN,Candidate 2,Candidate 1,Candidate 2,Candidate 1,Candidate 2,Q2,White,,Male,25-34 years old,Bachelors Degree,,66884,Virginia Tech,University of San Diego,Data Analyst,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Virginia Tech,Boston University,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,George Washington University,George Washington University,Sales Representative,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,Boston University,University of San Diego,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,Stanford University,Boston University,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,7,6,5,5,6,5,7,6,7,5
2022-03-26 0:02:40,2022-03-26 0:04:57,IP Address,134.195.104.43,100,137,TRUE,2022-03-26 0:04:58,R_e9voN80rhfPexq1,,,,,37.75100708,-97.8219986,anonymous,EN,Candidate 1,Candidate 2,Candidate 1,Candidate 2,Candidate 2,All of the above,American Indian or Alaska Native,,Female,45-54 years old,Associate Degree,,88169,"University of California, Berkeley",Boston University,Consultant,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_81h2dFUxHLMEHCC,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8,University of San Diego,"University of California, Berkeley",Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,Boston University,Stanford University,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,"University of California, Berkeley",Virginia Tech,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,Stanford University,Stanford University,Sales Representative,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,5,7,6,5,7,7,7,6,7,5
2022-03-26 0:03:37,2022-03-26 0:05:04,IP Address,176.103.243.110,100,87,TRUE,2022-03-26 0:05:04,R_1i9V0QagQoKVPAn,,,,,39.01800537,-77.53900146,anonymous,EN,Candidate 1,Candidate 2,Candidate 1,Candidate 1,Candidate 2,All of the above,Black or African American,,Female,35-44 years old,Masters Degree,,31749,George Washington University,Stanford University,Software Engineer,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc,Virginia Tech,University of San Diego,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,Boston University,University of San Diego,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Virginia Tech,University of San Diego,Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,University of San Diego,University of San Diego,Software Engineer,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_8kY19UVhHc35c90,5,7,6,7,6,6,7,6,5,5
2022-03-26 0:03:13,2022-03-26 0:05:16,IP Address,196.17.67.183,100,123,TRUE,2022-03-26 0:05:17,R_3ixmjSBHcVwaY3G,,,,,34.05439758,-118.2440948,anonymous,EN,Candidate 1,Candidate 2,Candidate 2,Candidate 1,Candidate 2,"Q3,Q4,Q5",White,,Female,55-64 years old,Masters Degree,,48621,Boston University,Boston University,Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_01WTwDYVJBMeihg,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,Virginia Tech,Boston University,Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_01WTwDYVJBMeihg,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,"University of California, Berkeley",Virginia Tech,Sales Representative,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Virginia Tech,University of San Diego,Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JRdYUkB2u7dLh4,Stanford University,Stanford University,Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,6,5,5,6,6,6,7,5,6,6
