id,1_pref,2_pref,3_pref,4_pref,5_pref,choice1_college1,choice1_college2,choice1_job1,choice1_job2,choice1_photo1,choice1_photo2,choice2_college1,choice2_college2,choice2_job1,choice2_job2,choice2_photo1,choice2_photo2,choice3_college1,choice3_college2,choice3_job1,choice3_job2,choice3_photo1,choice3_photo2,choice4_college1,choice4_college2,choice4_job1,choice4_job2,choice4_photo1,choice4_photo2,choice5_college1,choice5_college2,choice5_job1,choice5_job2,choice5_photo1,choice5_photo2,choice1_exp1,choice1_exp2,choice2_exp1,choice2_exp2,choice3_exp1,choice3_exp2,choice4_exp1,choice4_exp2,choice5_exp1,choice5_exp2
R_2OOTwdc9qpaeyUM,Candidate 1,Candidate 2,Candidate 2,Candidate 1,Candidate 2,Virginia Tech,Stanford University,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,Virginia Tech,George Washington University,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM,Virginia Tech,Virginia Tech,Sales Representative,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,University of San Diego,Virginia Tech,Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,Stanford University,University of San Diego,Consultant,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0
R_1Hdd8hUst2tZXhb,Candidate 2,Candidate 2,Candidate 1,Candidate 1,Candidate 2,George Washington University,University of San Diego,Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_8kY19UVhHc35c90,Stanford University,"University of California, Berkeley",Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Stanford University,University of San Diego,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,"University of California, Berkeley",Boston University,Software Engineer,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,"University of California, Berkeley","University of California, Berkeley",Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,6.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0
R_3Pjfa42q2kQ7vG3,Candidate 2,Candidate 1,Candidate 2,Candidate 2,Candidate 1,University of San Diego,University of San Diego,Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,George Washington University,University of San Diego,Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_021VYSvq7rnzo4m,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,Boston University,Boston University,Consultant,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,"University of California, Berkeley",George Washington University,Consultant,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i,Virginia Tech,Virginia Tech,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
R_2X033519KnXqPZN,Candidate 1,Candidate 1,Candidate 2,Candidate 2,Candidate 1,Boston University,Boston University,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm,George Washington University,"University of California, Berkeley",Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,University of San Diego,University of San Diego,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_81h2dFUxHLMEHCC,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,Virginia Tech,Virginia Tech,Software Engineer,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,George Washington University,George Washington University,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,5.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,6.0,5.0
R_2b3suxrXdwXSniG,Candidate 1,Candidate 2,Candidate 1,Candidate 2,Candidate 1,Boston University,"University of California, Berkeley",Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_01WTwDYVJBMeihg,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,University of San Diego,University of San Diego,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,Boston University,"University of California, Berkeley",Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,George Washington University,"University of California, Berkeley",Consultant,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM,Boston University,"University of California, Berkeley",Sales Representative,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JM7n0RVYqtN1zw,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,6.0,7.0,5.0,5.0,7.0,6.0,5.0,6.0,7.0,6.0
R_AF31Ai9FtQLmU4p,Candidate 2,Candidate 2,Candidate 1,Candidate 2,Candidate 2,Boston University,Boston University,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JRdYUkB2u7dLh4,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,Boston University,George Washington University,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JM7n0RVYqtN1zw,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,University of San Diego,Boston University,Software Engineer,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,University of San Diego,"University of California, Berkeley",Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM,University of San Diego,Stanford University,Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,7.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,7.0
R_2ciHFWREBOxaECn,Candidate 2,Candidate 1,Candidate 2,Candidate 1,Candidate 2,Virginia Tech,University of San Diego,Data Analyst,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Virginia Tech,Boston University,Data Analyst,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_cUzzqAZCm6h8mCa,George Washington University,George Washington University,Sales Representative,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,Boston University,University of San Diego,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,Stanford University,Boston University,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,7.0,6.0,5.0,5.0,6.0,5.0,7.0,6.0,7.0,5.0
R_e9voN80rhfPexq1,Candidate 1,Candidate 2,Candidate 1,Candidate 2,Candidate 2,"University of California, Berkeley",Boston University,Consultant,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_81h2dFUxHLMEHCC,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8,University of San Diego,"University of California, Berkeley",Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,Boston University,Stanford University,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,"University of California, Berkeley",Virginia Tech,Software Engineer,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bDcyel3IbymV8ZE,Stanford University,Stanford University,Sales Representative,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,5.0,7.0,6.0,5.0,7.0,7.0,7.0,6.0,7.0,5.0
R_1i9V0QagQoKVPAn,Candidate 1,Candidate 2,Candidate 1,Candidate 1,Candidate 2,George Washington University,Stanford University,Software Engineer,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc,Virginia Tech,University of San Diego,Consultant,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,Boston University,University of San Diego,Consultant,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_0GmwcJWWaptRb1Q,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Virginia Tech,University of San Diego,Sales Representative,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3qGZ0hOOaswjPRs,University of San Diego,University of San Diego,Software Engineer,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_8kY19UVhHc35c90,5.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0
R_3ixmjSBHcVwaY3G,Candidate 1,Candidate 2,Candidate 2,Candidate 1,Candidate 2,Boston University,Boston University,Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_01WTwDYVJBMeihg,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA,Virginia Tech,Boston University,Data Analyst,Data Analyst,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_01WTwDYVJBMeihg,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea,"University of California, Berkeley",Virginia Tech,Sales Representative,Consultant,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,Virginia Tech,University of San Diego,Data Analyst,Software Engineer,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JRdYUkB2u7dLh4,Stanford University,Stanford University,Software Engineer,Sales Representative,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy,https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3wu4E1bK38jKz8G,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0
