id,choiceNum,candNum,college,exp,job,gender,ethnicity,filtered,preference,Y,resp_ethnicity,resp_sex,resp_age,resp_education,college_binary,job_binary
R_0GkP9YSiNDMukb7,1,1,Boston University,5.0,Software Engineer,Male,White,True,2,0,Black or African American,Male,35-44 years old,Bachelors Degree,1-50,back-facing
R_0GkP9YSiNDMukb7,1,2,Stanford University,7.0,Sales Representative,Female,White,True,2,1,Black or African American,Male,35-44 years old,Bachelors Degree,1-50,front-facing
R_0GkP9YSiNDMukb7,2,1,Boston University,7.0,Sales Representative,Male,POC,False,1,1,Black or African American,Male,35-44 years old,Bachelors Degree,1-50,front-facing
R_0GkP9YSiNDMukb7,2,2,Virginia Tech,6.0,Sales Representative,Male,POC,True,1,0,Black or African American,Male,35-44 years old,Bachelors Degree,50-100,front-facing
R_0GkP9YSiNDMukb7,3,1,George Washington University,7.0,Software Engineer,Male,White,False,1,1,Black or African American,Male,35-44 years old,Bachelors Degree,50-100,back-facing
R_0GkP9YSiNDMukb7,3,2,"University of California, Berkeley",6.0,Sales Representative,Male,White,False,1,0,Black or African American,Male,35-44 years old,Bachelors Degree,1-50,front-facing
R_0GkP9YSiNDMukb7,4,1,Stanford University,6.0,Sales Representative,Male,POC,False,2,0,Black or African American,Male,35-44 years old,Bachelors Degree,1-50,front-facing
R_0GkP9YSiNDMukb7,4,2,University of San Diego,6.0,Sales Representative,Male,POC,False,2,1,Black or African American,Male,35-44 years old,Bachelors Degree,50-100,front-facing
R_0GkP9YSiNDMukb7,5,1,George Washington University,5.0,Consultant,Female,White,False,2,0,Black or African American,Male,35-44 years old,Bachelors Degree,50-100,front-facing
R_0GkP9YSiNDMukb7,5,2,George Washington University,7.0,Consultant,Female,White,True,2,1,Black or African American,Male,35-44 years old,Bachelors Degree,50-100,front-facing
R_10AVvGvm9BC40Sh,1,1,Boston University,6.0,Sales Representative,Male,White,True,1,1,White,Male,25-34 years old,Bachelors Degree,1-50,front-facing
R_10AVvGvm9BC40Sh,1,2,Boston University,7.0,Data Analyst,Female,POC,True,1,0,White,Male,25-34 years old,Bachelors Degree,1-50,back-facing
R_10AVvGvm9BC40Sh,2,1,Boston University,7.0,Data Analyst,Female,White,False,2,0,White,Male,25-34 years old,Bachelors Degree,1-50,back-facing
R_10AVvGvm9BC40Sh,2,2,University of San Diego,7.0,Software Engineer,Male,POC,True,2,1,White,Male,25-34 years old,Bachelors Degree,50-100,back-facing
R_10AVvGvm9BC40Sh,3,1,University of San Diego,5.0,Sales Representative,Female,White,True,1,1,White,Male,25-34 years old,Bachelors Degree,50-100,front-facing
R_10AVvGvm9BC40Sh,3,2,"University of California, Berkeley",5.0,Software Engineer,Male,POC,False,1,0,White,Male,25-34 years old,Bachelors Degree,1-50,back-facing
R_10AVvGvm9BC40Sh,4,1,Boston University,7.0,Consultant,Male,POC,True,2,0,White,Male,25-34 years old,Bachelors Degree,1-50,front-facing
R_10AVvGvm9BC40Sh,4,2,Stanford University,6.0,Consultant,Male,POC,True,2,1,White,Male,25-34 years old,Bachelors Degree,1-50,front-facing
R_10AVvGvm9BC40Sh,5,1,George Washington University,7.0,Consultant,Female,White,False,1,1,White,Male,25-34 years old,Bachelors Degree,50-100,front-facing
R_10AVvGvm9BC40Sh,5,2,Virginia Tech,7.0,Data Analyst,Male,POC,False,1,0,White,Male,25-34 years old,Bachelors Degree,50-100,back-facing
R_10Dc7KG5UNa5FTL,1,1,Stanford University,6.0,Sales Representative,Female,POC,True,1,1,White,Male,55-64 years old,Bachelors Degree,1-50,front-facing
R_10Dc7KG5UNa5FTL,1,2,"University of California, Berkeley",7.0,Software Engineer,Female,POC,True,1,0,White,Male,55-64 years old,Bachelors Degree,1-50,back-facing
R_10Dc7KG5UNa5FTL,2,1,Stanford University,6.0,Data Analyst,Male,POC,True,2,0,White,Male,55-64 years old,Bachelors Degree,1-50,back-facing
